,location,date,job,rating,review_title,review_content
2597," Winnipeg, MB ", 20 May 2013,Customer Support Representative/ Customer Service,5.0,"I liked to work with different people , Scotiabank provided that opportunity","Every day there were different situations and different people to deal with . I was able to learn most of my job by doing it as I go. I love to interact with people , helping them investigate some transactions , or give them  recommendation   how to bank more efficiently. Some of my responsibilities were to do large amount of filling, boxing files and recording boxes that were sent for safekeeping for next few years. I know how to use office equipment and respond efficiently to coworkers or customers inquiries on the phone.  "
2598," Scarborough, ON ", 18 May 2013,Fraud Detection Analyst,2.0,YBM Sisa provided me invaluable experience!,"Taught the English language to Korean students through lesson plans using online resources.Engaged in daily conversations and discussions with Korean students and assisted in developing their communication skills."
2599," Scarborough, ON ", 18 May 2013,Customer Service Representative,3.0,Scotiabank Toronto Customer Contact Centre gave me invaluable experience!,"Delivered quality service to internal and external customers by providing prompt, accurate, and professional responses to written, telephone, and online inquiries."
2600," Calgary, AB ", 16 May 2013,Senior Accounting Clerk,4.0,"Good People, good experience",It was overall a really good experience for me in an office environment.
2601," Toronto, ON ", 16 May 2013,Market Surveyor,3.0,not really a job,"i have to stand outside of the building hours under the sun, and the scotia bank person never shows up to me i have to call her. The paying is ridiculously low."
2602," Hanover, ON ", 15 May 2013,Bank Teller,5.0,great environment,"very busy a lot of multi tasking, problem solving. Worked with wonderful people. The hardest part was balancing work with home. the best part of my job was the friendly environment and being challenged"
2603," Grande Prairie, AB ", 14 May 2013,Personal Banking Officer,5.0,Productive work environment,"AdvancementFriendlyCo-workers are team playersManagement are part of the team"
2604," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2605," Toronto, ON ", 13 May 2013,Senior Manager,4.0,Great culture and people to work with,I learned so much because of the diversity and the culture of the company. Very challenging and rewarding.
2606," Calgary, AB ", 8 May 2013,Busser/Head Hostess/Cash,4.0,Day at Work,Work was fun always very very busy but mostly they were lax and fun to be with.
2607," Toronto, ON ", 4 May 2013,Junior Analyst,4.0,Warm atmosphere with colleges who are always helpful,The GAFE team at Scotia GBM is a very open and welcoming place to work and provides so much to learn. 
2608," Calgary, AB ", 2 May 2013,Customer Support Representative,4.0,Solid Company,I enjoyed my time with scotiabank because they gave me the opportunity and the training to feel comfortable working in the finance industry.
2609," Halifax, NS  ", 1 May 2013,Customer Service Representative,4.0,"Customer service rep for accounts, credit, mortgages.","This was a great job but, the call Centre environment was too much after a few years. The pay, benefits, and management were excellent. I left to pursue a training career. "
2610, toronto , 26 April 2013,Financial Advisor,4.0,productive,Supportive team oriented. good managment. extensive training
2611," Ottawa, ON ", 24 April 2013,security guard and a guests services attendant,5.0,Fun,"Fun place to work, for those who love to be sociable, great to help people find their way around the building, making sure rules of conduct are followed"
2612," Victoria, BC ", 24 April 2013,Mortgage Business Development Manager,5.0,long standing company,"good benefits, well known brand, many branches for relocation, annual charity commitment"
2613," Waterloo/Kitchener, ON ", 22 April 2013,CUSTOMER SERVICE REPRESENTATIVE,4.0,Overall Summary,"- Provide prompt, accurate and professional service to all retail customers.- Responsible for meeting customers' day to day transactional needs, general inquiries and directing sales opportunities to the appropriate sales officer- Management and coworkers generally friendly and supportive- Hardest part of job is dealing with customers in difficult financial situations, or irate customers- Enjoyable when able to satisfy customers through service, saving them money, etc."
2614," Toronto, ON ", 21 April 2013,Senior Reconciliation Officer,4.0,fun department,"fun department to work for, overall the company is really fun to work for."
2615," Saskatoon, SK ", 19 April 2013,ACCOUNT MANAGER,4.0,Lost of room for advancement,I was in charge of the province and there had a fair amount of freedom to arrange my own schedules without interference from management provided goals were being met. Involved a fair amount of travel.
2616, Toronto Customer Contact Centre , 15 April 2013,Banking Officer,4.0,Scotiabank is a wonderful place to work.,Its all in me resume. Always finding ways to provide excellent customer service and make the customer happy. Going above and beyond in all areas.
2617," Toronto, ON ", 11 April 2013,Business Service Associate,4.0,Good Company,Conservative approach to Global changes. Low compensation but a secure job.
2618," Toronto, ON ", 10 April 2013,Quality Assurance Testing,5.0,Weighted Responsibility,"Worked with a team to create and develop Visa card chips, while also testing the product and working out any bugs. Was tasked with the huge responsibility of being a part of the team responsible for the release of the new Visa card chips. Taught how to; code, develop and manage advanced computer systems as well as improved my overall knowledge and technical skills in these particular fields. Had the proper qualifications to be admitted onto this team, due to my vast knowledge of the inner workings of this particular software."
2619," Toronto, ON ", 10 April 2013,"Toronto, ON",3.0,neat & organized enviroment,This was a Co-OP Opportunity that i did through school. No Salary and only worked 6 hours a day. Would be assisting the floor manager with process of payments.
2620," Toronto, ON ", 9 April 2013,Customer Service Representative,5.0,staff made every work day enjoyable,"Amazing management and staff, made each day enjoyable and fun. I enjoyed interacting with customers and providing exceptional service."
2621," Toronto, ON ", 9 April 2013,Assistant Manager,5.0,Great place to work - Scotiabank really is a People's Bank!,"Working with a team setting, department helped me as I did others.My area had one team and one goal..helping eachother and we were a success.Management changed often, however you got the help needed to learn and grow.Co-workers were great. They were your co-workers and your friends/family.Hardest part probably was the volume of work at busy times.Enjoyable part was helping staff"
2622," Toronto, ON ", 6 April 2013,"Sr. Manager, Decision Support",4.0,It is one of the top banks in Canada,"Pros – Employer encourages career advancement, job stability, banking.Cons – Low salaries, low benefit, lack of younger generations staff"
2623," Toronto, ON ", 5 April 2013,Marketing Analyst,5.0,amazing management and amazing jobs,You are given immediate responsibility and work to do. Employees are amazing and work is extremely enjoyeable.
2624, 61 front St Union station , 4 April 2013,Mutual Tranfer Officer,5.0,It niice to work with this company. people are so friendly and company is great,"typical day at work is yoy daily task, I learned so many thing using AS400 Intralink cds and the like, co workers are friendly and nice to work with, hardest part when you busy and you finish on time given, the most enjoyable part you contribute more than you are expected."
2625," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2626," Halifax, NS ", 31 March 2013,Customer Service Officer,4.0,"good compensation, tedious work","I really enjoyed the team environment and the dedication to good training that Scotiabank fosters. I found my work at the Contact Center a bit tedious personally, but after putting in some time they do offer opportunities for advancement and travel in a large organization. It is a very structured environment, but the management is dedicated and overall they compensate their employees well and strive for quality."
2627," Calgary, AB ", 28 March 2013,Club Seat Runner,2.0,got to see some hockey games for free while working.,the pay wasn't enough to live on. Management didn't treat me well.
2628, Ontario , 20 March 2013,Senior Admin Clerk,2.0,Leaves a lot to be desired,"It takes a minimum of 3 years to become a permanent employee (when starting from the bottom). Salary and benefits (recently changed and costing much more than previously) are at the very low end of the industry despite record profits. A lot of favouritism for advancement (if a manager doesnt want you in their department, you will never get in there even if you are the most qualified) or even starting out (eg current employees relatives somehow get in ahead of outside applicants). Posting of internal job opportunities, then applicants being told that the position isnt being filled due to low volumes. Management do not show any flexibility regarding family obligations such as ill children, snow days or restrictions on hours due to child care availablilty. Letting contract employees go with no notice is not unheard of.Coaching and development is being pushed a lot lately (may be good or bad depending on your outlook). Very helpful Ombuds office. Many different committees, volunteer and charity activities available to take part in throughout the year."
2629," Windsor, ON ", 19 March 2013,Personal Banking Officer,4.0,Fun/educational,"Great company. The pay was not as high as the demands set forth for you, if you are at a branch that doesn't produce numbers, you'll have your manager constantly breathing down your neck. ""Sell them Visas""."
2630," Toronto, ON ", 18 March 2013,Senior Business Analyst/BSA,4.0,Good place to be there,"I've been at Scotiabank6 months. The Bank is at best an average employer...better than RBC or CIBC, but not in the same league as TD. Scotiabank has outdated technology, old equipment, but a good management team. Scotiabank is not a market leader in most areas, and its' success has been due partially to luck, and partly because of good people."
2631," Scarborough, ON ", 13 March 2013,Customer Service Manager,5.0,"Relaxing with peers having breakfast together in the morning, once a week",My most enjoyable part of the job was doing preparations in the morning with one of my peers. Because we both have productively conversations regards to anything including our life and work at the same time. We get to know each other better and we got having time to plan how to run our work load for the rest of the day smoothly.
2632, 720 King Street West , 13 March 2013,Analyst,3.0,Mostly Good people to work with,"- Always something new to learn- Excel VBA, Advance Function of Excel, Project Management- Co-workers are great- Most Enjoyable Part of the Job - Learning new Skills"
2633," Richmond Hill, ON ", 13 March 2013,Bank Teller,4.0,"Learned how to interact with customers,","Since this was my high school co-op placement, I cannot say anything about pay. Working with customers was very exciting and rewarding."
2634," Picton, ON ", 13 March 2013,Head Teller,3.0,good learning experience,"Developed great customer service skills. Enjoyed being able to help people, specially the elderly."
2635, Calgary , 10 March 2013,Call Centre Agent,2.0,"hectic workplace,","very hectic work environment, a lot of daily changes to keep up to date with. Poor documentation and resources.Old technology.Want agents to be super agents but with poor support and resources"
2636," Toronto, ON ", 8 March 2013,Quality Assurance Analyst,4.0,It is a fun place which has table tennis table,It was a busy working environment. All the co-workers were nice and helpful. The hardest part of the job was the short deadlines. The most enjoyable part of the job was there were always something new to learn.
2637," Toronto, ON ", 2 March 2013,Manager,1.0,The bank just slashed employee benefits and workforce is in state of turmoil,I used to like to work for the bank. I beleived that the culture put people first. Now the bank has made a masked pay cut in the form of reduced benefits. People voted 95% against the new package and management has been dismisive.
2638," Stratford, ON ", 23 February 2013,SR. ADMIN. CLERK,5.0,I enjoyed my time at scotiabank,"Scotiabank is a good place to work, people are great,fast paced"
2639, Mississauga , 20 February 2013,Personal Banking Manager RETAIL,3.0,client interactions,They acted like children.Putting many fire and putting many hats and ensuring that every client is being taken care of.
2640," New Liskeard, Ontario ", 20 February 2013,Customer Representative,4.0,parttime,This company is enjoyable to work for and they do encourage additional training.
2641,Sales and Services (Current Employee) ," Burnaby, BC ",Customer Service Representative-Sales and Services,5.0,Great opportunity for interdisciplinary collaboration in an individual and team environment.,"• Contributing to the overall success of the branch by meeting negotiated goals through responding to customer requests• Meeting walk-in customers' transactional needs, resolving their service and maintenance related inquiries and directing sales opportunities to the appropriate sales officer• Generating quality referrals for the sales team, and contributing to the provision of human, straightforward and knowledgeable service through daily interactions to foster a relationship of mutual trust and confidence with customersFrom this job I learned basic knowledge of banking products and how finance apply in real world, and how to communicate with customers effectively. The hardest part of the job would be handling demanding and difficult customers. The most enjoyable part of the job would be when I get compliments from customers for excellent customer service provided."
2642," Scarborough, On ", 13 February 2013,Call Centre Credit Card Specialist,5.0,Feels like extended family,"A very supportive environment, as well as a great place to start your career in finance as well as a good example of a comfortable working environment."
2643," East York, ON ", 4 February 2013,Customer Service Representative,5.0,I was a bank teller preforming day to day banking for clients,"-I worked at Scotiabank as an intern to gain customer service experience while face to face, and utilizing various denominations of money.-I learned how to deal with clients in a professional manor-My co-workers were great to work with on a daily basis and I enjoyed the branch setting.-One of the more challenging aspects of the job was to be sure that I balanced at the end of every shift.-The most enjoyable part of my job was to be dealing with a different client each time of the day."
2644," Toronto, ON ", 3 February 2013,Futures Settlement Officer,3.0,Fast paced environment,"> Reconcile fixed income, equity and energy trades of prior day with deadline of 10 am> Move collateral and recall any collateral if necessary.> Settle trades and any discrepancies between Scotia and Exchange.> Analyse trader's P&L with the exchange.> The hardest part is how fast paced and tight the deadline in the early morning, because sometimes we are waiting on the responses of the trader.> The most enjoyable part of the job is the challenge of the tight dead lines and the sense of accomplishment."
2645," Toronto, ON ", 1 February 2013,Casual Teller,3.0,an amazing upgrade from retail.,"It was very relaxed and layed back to a certain extent. I was a casual teller. For someone like myself, it was a little frustrating and stressfull to find a branch that was in need of extra tellers. Fortunately, it taught me time management, and if your persistant, it pays off. I mostly enjoyed meeting new people, interacting with customers face to face, and creating a trust between you and your clients that enter the bank on a daily basis. After all, you are viewing their accounts with all of their information. Overall a great job."
2646," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2647, Global Banking (Former Employee) ," Toronto, ON ",Senior Marketing Manager - Global Banking,4.0,Great work culture and lots of opportunities to move within the bank,Great place to work at any level. Great mobility options within the bank.
2648," Toronto, ON ", 26 January 2013,Software Tester,4.0,People were friendly like a big family,Everyday was busy and exciting. Co-workers spent many hours working together and closed like family member; we learned each others' strenghs and weaknesses and grew closer as a family
2649," North York, ON ", 23 January 2013,Customer Service Representative,3.0,Overall a great entry level job,The company has potential for growth and is a great employer to work for as an entry level job. Unfortunately management within the company is stigmatized with favouritism creating barriers to success.A typical day at work involves arriving to work 5-10 minutes before scheduled to ensure I am ready and prepared on time for the doors to open. Assisting customers with their needs and concerns and identifying ways to save them money is what the rest of the day consists of. Co-workers like any job can have its moments but overall working with everyone can be a pleasure aside from maybe one or two individuals who have a tendency to consistently make you feel inadequate. The most enjoyable part of my job is assisting the customers and seeing the various walks of life that come through the bank and their specific needs. A smile at the end of every transaction is truly fulfilling.
2650," Toronto, ON ", 16 January 2013,Quality Assurance Analyst,5.0,It is great place to work at.,"Everyday was busy and exciting. I learned a lot about Canadian work culture and now know more about banking products and banking systems.The management was supportive and the Co-workers were friendly and helpful. The hardest part of the job was that we always had a short deadline. Sometimes we only had 3-4 testing weeks for one release, which put a lot of pressure on the testers.The most enjoyable part of the job getting many chances to work overtime in order to meet the aformentioned deadlines. Co-workers spent many hours working together; we learned each others' strenghs and weaknesses and grew closer as a team."
2651," Ottawa, ON ", 15 January 2013,Customer Service Representative,4.0,Internship,• Responsible for all social media platforms using HooteSuite and Timely• Facilitation of communication for public relational activities• Conducted numerous power-point research presentations
2652," markham, ON ", 14 January 2013,Customer Service Representative,5.0,Fun place to work,"Was a good place to work, chose to go to the contact centre and this was the worst decision of my life"
2653," Toronto, ON ", 14 January 2013,Retail Banking Officer,1.0,Horrible place to work,"Manager did not help in any way for my career, was simply a liar."
2654," Calgary, AB ", 11 January 2013,Cashier promoted to Station Supervisor,5.0,Scotiabank Saddledome,Part Time Evening Job.Wonderful Places to work!Amazing Managers and Employees!
2655, Brantford ON , 11 January 2013,Personal Banking Officer,4.0,Great starting point and room to grow!,"Scotiabank is a great company to work for, they are family oriented and have great training programs"
2656," Sarnia, ON ", 6 January 2013,Financial Service Representative,4.0,Productive and fun place to work.,A typical day at worked included interacting with personal clients to sell and promote all their banking needs. I learned a great deal from my management staff and fellow co-workers. I also attend weekly coaching sessions inorder to improve my customer experience. The hardest part of my job was to inform a client that they were not approved for a credit product. The most enjoyable part of my job was to be able to reduce a clients mortgage rate.
2657, Brampton , 2 January 2013,Customer Service Representative,4.0,Involvement outside workplace,Bank of Nova Scotia has a very unique work life experience and culture. It is very involved in charitable activities and gives employees a chance to get involved. It has open door management policy and management is very supportive and easy to get along with.
2658, azilda ontario , 30 December 2012,"Customer service representative, teller services",5.0,"productive, energetic, fun place to work","I enjoyed my co-workers and clients, I was always learning something new and I grew with the company, a great place to be employed"
2659," Toronto, ON ", 29 December 2012,"General Manager, Automotive Lending & Leasing",5.0,Highly demanding but at the same time when you meet and exceed expectations the rewards are great!,Constant tight dead lines for which I met. Learned to deligate responsiblity and trust in co-workers. Learned to deligate without fear of failure. The hardest part of the job was lengthy travel away from home and working long hours to ensure project success. I most enjoyed the respect received for the accomplishments I made.
2660," Powassan, ON ", 28 December 2012,Customer Service Representative,5.0,Great bank in a small town with great people,"Small town bank, worked part time, terrible pay to handle someone's money."
2661, Windsor Ontario , 27 December 2012,Personal Banking Officer,3.0,Challenging with great team experience.,As a Personal Banking Officer it is my responsibility to assist clients in planning their financial strategies for both short and long term goals. This would include using a variety of Scotiabank tools and products. This position is strongly goal and sales oriented whose challenges require constant planning and concentration.
2662, Toronto , 21 December 2012,Senior Personal Banking Officer,4.0,Had some good and bad experience,"Everyone is nice and friendly at first, company has some good corporate values. However, it is heavily dependent on management and at times the way you are evaluated seems unfair. This company doesn't do a great job in setting incentives to make you want to do well (at least from my experience).With some managers I have received quick promotions and others try to hold you back, even when you are ready."
2663," Bolton, Ontario ", 15 December 2012,Teller/ Processor,4.0,Professional environment,Excellent place to start for people in the finance industry.Well established organization with job security.
2664," Calgary, AB ", 13 December 2012,Commercial Teller,3.0,Multicultural,"Management was too tied up to hear employees concern,Hours werent provided to me when I was available to work more hoursThey contridict them selves alot, say one thing and do another.They said they will give me a permanent position and then decided not too, but wanted me to be oncall five days a week during the bank hoursBenefits didn't satisfy me as I have a family,Job security if very low"
2665," Toronto, On ", 11 December 2012,Call Redirect Officer,5.0,Good company,"Scotiabank is a large company, people have lots of promotion opportunities."
2666," Calgary, AB ", 29 November 2012,Security Officer,4.0,great place to work,i highly enjoy my job at the saddledome. the people i work with are great and its been a great experience working there
2667," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2668," montreal, qc ", 24 November 2012,Customer service representative,4.0,Developpment opportunities and learning,"I've learned a lot from this company and the values it projects. The hours are not enough because they are closed on weekends but overall a wonderfull work environment. Some customers have complicated transactions, requests or issues to resolve but it is fun because thats part of the challenge. It feels good to help people and be in a business environment. Co-workers are always respectfull and honest."
2669, Kingston , 21 November 2012,"Teller,Managers Secretary,Securites Manager",5.0,My greatest job experience at different levels,"A typical workday is from 8 - 5, then work days was 6 days per work week.Management , coworkers were at the highest level,The hardest part of my job then, was balancing a ledger twice a year"
2670," Toronto, ON ", 20 November 2012,"Business Analyst, Retail Banking",4.0,Good work environment,"Work environment is relax, and they provide enough information and business support to work on any project within the bank."
2671," Toronto, Ontario ", 19 November 2012,Print Team Lead,4.0,It was good company to work for,I gain much needed experience in operating peripheral equipment(IBM laser and impact printer) and the commands that associated to operate and maintain these hardware equipments
2672," Roddickton, NL ", 14 November 2012,Customer Support Representative,3.0,Customer Focused Team,Since I have started work from 1995 to now the line-ups and counter service is very little. I work in a sub-branch with a very small team. I enjoy people and helping people which is what we do every day in this job. I do have severe asthma which causes problems when I get a customer with purfume or aftershave and I want to help them but my chest tightens and can't speak properly to them which is probably the biggest challenge at my current job. The most enjoyable part of my day is when I have a customer who comes to me with a major problem and I fix it for them or refer them to the appropriate officer.
2673," Toronto, On ", 7 November 2012,Senior Manager,5.0,Work from home,I extremely enjoyed working with Scotabank due th following reasons:-supportive boss-work from home
2674," Taber, AB ", 7 November 2012,Customer Representative,5.0,"Friendly, great customers","Scotia Bank has great hours for a working mother of 3 and great employees that will help you learn with what you need help with, the hardest part of the job was not knowing how many hours you get and if the next customer was in a bad mood. I enjoyed almost every part of the job, gave me lots of time with my family and very understandable when it comes to personal matters."
2675," Ottawa, ON ", 6 November 2012,Small Business Development Manager,4.0,my review,Scotiabank is an employer of choice and has been responsible for a great amount of my working knowledge
2676," London, ON ", 2 November 2012,Senior Financial Advisor,5.0,great work environment and atmosphere,I had a great team that I worked with that really understood the meaning of teamwork. I had great management that were very approachable and fun to work with
2677," Brampton, ON ", 2 November 2012,Senior Personal Banking Officer,5.0,Great for career entry level positons,Great place to work but your burden of work varies from branch to branch.
2678," Toronto, ON ", 31 October 2012,Customer Service Representative,4.0,Good place to work,"Good benefits, able to accept change, and with the right manager, a great place to work."
2679, Hamilton , 30 October 2012,processed deals,3.0,processing deals for cars and houses,"it was okay, co workers ok management not the greatestit was very clicky"
2680," Toronto, ON ", 28 October 2012,Sr. Technical Analyst,4.0,Growth Oppurtunity,"Working at Scotiabank has been a great experience for me so far. I am part of a very talented team, which has significantly taught me many aspects on the infrastructure side of things. One thing I enjoy about my workplace is my relationship with my team members as well as people outside of my team at Scotiabank."
2681, Toronto , Head Office ,Head Office position,1.0,"Stale, political and unrewarding",Great place to work if you're seeking a job. Horrible place to work for those in need of a career. Do not expect any significant pay raises as years go by (formula used to determine this coincidentally favours the company). Employment opportunities are limited to those who are politically privelaged within the organization and hiring practices heavily favour women. The company takes no interest in your personal growth and only cares about meeting the needs of shareholders.
2682, ON , 22 October 2012,Customer Service Rep,5.0,Productive Stable Company,Scotiabank is an excellent place to work for they offer a great many opportunities for those who want to grow within the banking industry!
2683," Calgary, AB ", 21 October 2012,Personal Banking Officer,4.0,Great for start-up career,"Sales role, learned lending/investment. Great management and co-workers. Sales role is somewhat hard. Meeting different clients is enjoyable."
2684," Stratford, ON ", 18 October 2012,Senior Mortgage Administration Clerk,4.0,Excellent Place To Work,"I worked with Scotiabank for four years fulltime and then decided to return to school. They were very supportive of my decision and provided me with an opportunity to return to work during summer vacation and sometimes during winter break. The only thing that I could say that Scotiabank needs to improve is their job security. The process for obtaining full time employment is tedious and makes it difficult for contract employees and/or students to secure full time employment. Working on a month to month basis can be stressful for part time or casual employees. Other than that, it was an excellent place to work, friendly and courteous co-workers and management. Very flexible to ensure that the work/life balance is maintained."
2685, Windsor Nova Scotia , 15 October 2012,Customer Service Representative,5.0,productive and positive work environment.,"It was an amazing experience working for Scotiabank, I would work there my entire life if they had any job openings. i would help sort the cash, help customers with their interactions, and the staff with anything they needed. Every manager and co-worker were just about the best you could have asked for, in both the environment and work sense. The hardest part of the job was remembering codes which got easier over time. I enjoyed every part of working there."
2686," Toronto, ON ", 12 October 2012,Manager Distribution Services,4.0,Great place to work.,High stress job. Little management support. Excellent co-workers.
2687," Toronto, ON ", 11 October 2012,Personal Banking Officer,4.0,Great job security,Not much to learn after few months. Good to develop peoples skills. Very fast paced environment.
2688," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2689," Toronto, ON ", 11 October 2012,Quality Assurance Tester,5.0,"Nice place to work with, takes care of their employees","Very productive, friendly and a workplace with lots of fun. All the Managers and employees are very cooperative."
2690," Quesnel, BC ", 10 October 2012,Customer Representative,5.0,Excellent collegues and clients,"Very busy and rewarding with fair compensation. The co-workers became friends, and still are."
2691," Calgary, AB ", 5 October 2012,Customer Support and Service Representative,5.0,Supportive working environment and co-wokers friendliness,"attend phone calls, support bank officers, carry out customers banking needs on phone, email and in person.learned to service different customers with different needs, apply banking core values in practice and be a team player.Management: Supportive and encouragingCo-workers: Friendly and positiveHardest part of the job: A probable threat of being robbedMost enjoyable part of the job: Difficult customers patting and respecting what I have done to solve their concern/issues."
2692," Toronto, ON ", 1 October 2012,Customer Relations Officer (Contract),5.0,Productive and learning environment,"Management was very supportive A typical day included training merchants on the use of a new electronic portal; registering merchants and the new system, processing EFT requests and responding to queries from the Contact centre and merchants"
2693," Toronto, ON ", 26 September 2012,Business Analyst,5.0,My Role,I have been identified as an ambassador of the department and over the last year was recognized with a Best of the Best Award for my hard work and commitment
2694," Toronto, ON ", 25 September 2012,Executive Office Accounting,5.0,Great people with great knowlege to lead and guide,"This is the best place i have ever worked for, the work enviroment is very relaxed and fun while still keep the business attitude and customer attention in mind.Great managers who are always willing to guide and assist whenever a need arose. They really care about their people.I miss working for Scotia Bank"
2695," Toronto, ON ", 24 September 2012,Senior Accounting Clerk (CAU),3.0,Sr. Accounting,"I learnt a lot in mortgage, foreign exchange, AP/AR, Direct Deposit Account at Scotia bank. Most of time, there is always team required during peak hours. For example, I was pro in DDA and the work paper of DDA was given to my other co-worker which was not well knowledge of it. Thus, the work paper was piling up due to her unable of fast keying or inputting in the system so I asked my manager to give me DDA work paper and give my mortgage work paper to her so that time will be saved. Thus, we both helped with each other and keyed everything in the system before business hours."
2696," Scarborough, ON ", 24 September 2012,Business Analyst,5.0,Great team,Great team- management is very good at their jobs. I enjoy working for BNS.
2697, Downtown Calgary. , 19 September 2012,Assossiate Director,5.0,Excellent organization to work for.,"Day started at 6,00 am - opened office. Called Head Office in Toronto to get market overview and then started calling clients to book deals with regards to money market/foreign exchange. Entered deals into computer. Liased with Clients and Back Office to ensure that all transactions were completed and all necessary paper work correspondence and filing taken care of. Ensured that day to day operation/administration was taken care of efficiently. Worked and communicated very well with Co-workers; Clients and Scotia Bank Branch Managers in marketing of Cash Management Services. Nothing was hard - I thoroughly enjoyed what I did and attended in-house and completed my Canadian Securities Course and other courses related to trading practices. Everyday was different and enjoyed working with Clients and my co-workers. Unfortunately due to downsizing my position was eliminated."
2698, Toronto , 14 September 2012,Quality Assurance Analyst,5.0,Good environment for students.,Can work with many other students. Cafeteria is so so. Also work equipment are outdated.
2699," Toronto, ON ", 13 September 2012,Senior Accounting Officer,3.0,Standard Company within Financial Industry,"Good work environment, and culture. Difficult to move up. Not much training to start, need to be hands on and work independently."
2700," Calgary, AB ", 11 September 2012,Customer Service Officer,4.0,Customer Service officer,"Call center working night shift, flexible for new students, answer calls regarding bank cards and credit cards"
2701," Halifax, NS ", 10 September 2012,Customer Service Officer,4.0,very diverse work environment,"senior staff is always interacting and trying to find new ways to keep employees engaged in their work, they strive for excellence while taking into consideration the needs and happiness of their employees"
2702," 44 King Street West, Toronto ", 9 September 2012,Benefits Clerk,5.0,"Worked with mortgages, stocks and bonds and benefits","Was very interesting for me, as everytime there were any opportunites for job postings I would aply and manged to learn a lot."
2703," Dawson Creek, BC ", 7 September 2012,Customer Rep Supervisor,4.0,Execellent Co-Workers,Dealing wih lots of different people in a fast-paced environment.
2704, Toronto , 5 September 2012,Accounts Clerk,1.0,Administrative oficer,"I have more than fifteen years experience working in bank and other institutions as an office assistant. In particular my background includes experience in all aspects of general office administrative support including accounts clerk, Insurance associate. My success in the past has stemmed from my strong commitment and sense of professionalism. I keep high standards for my work and I am known for my ability to follow through. I respond well to a challenge and enjoy the opportunity to reap the rewards of hard work and dedication."
2705," Toronto, ON ", 31 August 2012,Customer Service Representative (Administrative),4.0,No active placement,"were not happy with managementnot being fairover all I liked my position, and adventures."
2706," Montréal, QC ", 24 August 2012,Manager Investments,4.0,A workplace offering a good work-life balance,The hardest part of my job is to bridge the difference between expectations and perceived expectations. Effective communication is key to aligning team members towards a common goal. My daily activities revolve around this constantly moving target.
2707," Medicine Hat, AB ", 22 August 2012,Customer Representative,4.0,Branch had very high turnover,"This branch was very busy, yet did not train staff very well at all - much was expected without much training :("
2708," Toronto, ON ", 22 August 2012,"""Personal Lending Specialist""",4.0,Excellent place to work for -,"good management, office environment and fair for career advancement -"
2709," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
2710," Montréal, QC ", 21 August 2012,Immigration investment consultant,5.0,Discovered the practicability of investment management.,Introduced services to potential clients and reviewed applications of interested clients. Made strategies about investments and selected optimized investment portfolios for clients. A good place to improve communication skills.
2711," Calgary, AB ", 21 August 2012,Customer Service Officer Retail Banking,4.0,Results and financial goal based work place,"To start of the day, I would sign into my phone, log onto my computer and prepare to take calls from customers. There is a pre-determined schedule for breaks to adhere to.Workplace is very team oriented and have centre wide campaigns that are a lot of fun. However to meet the financial goals and customer results, you must be very self-motivating and must take initiative to achieve monthly results."
2712," Tillsonburg, ON ", 21 August 2012,Customer Service Representative,5.0,"Honest, forward, well managed work environment","The work days at Scotiabank are wonderful! The mornings may be a little rushed to get everything accomplished, but once you've got a hold of the day's balance, everything falls into a nice even pace for the rest of the day. The full days seem short and before you know it you're at the weekend."
2713," Saint John, NB ", 16 August 2012,Customer Service Representative,3.0,OK place to work,Meet lots of people but job as a teller was a starter role and management did not want to help move up the chain
2714," Toronto, ON ", 14 August 2012,Lending Services Officer,4.0,Fun place to work,"I had opportunity to read manuals and be trained weekly by competent personnel,"
2715," Kanata, ON ", 11 August 2012,Cashier,3.0,"Energetic, Got to use knowledge.","I liked working at Vinci Park, because we got to have our own booths, and work at our own pace and in our own personal space. We had to multi-task and do multiple assignments at one time.I got to use knowledge by adding and subtracting in the booths for the cash float, and having to do addition, subtraction and multiplication for our cash floats at the end of the night. Worked with large cash floats some night up to $3000 a night."
